country,domesticWaterUse,relativeConcentrationInWasteWater,dilutionFactor_low,dilutionFactor_med,dilutionFactor_high,pecRiver_notnomalised_low,pecRiver_notnomalised_med,pecRiver_notnomalised_high,pecRiver_low,pecRiver_med,pecRiver_high
COD,20.358658453114305,0.04911915008068854,6606.934480075957,6606.934480075957,6606.934480075957,7.434484211825245e-06,7.434484211825245e-06,7.434484211825245e-06,0.005832365541262772,0.005832365541262772,0.005832365541262772
DEU,170.51334702258728,0.005864643545279383,32.210687912834345,32.210687912834345,32.210687912834345,0.00018207135349452183,0.00018207135349452183,0.00018207135349452183,0.14283528727970934,0.14283528727970934,0.14283528727970934
EGY,199.06913073237507,0.005023380552881309,208.92961308540387,208.92961308540387,208.92961308540387,2.404341097797328e-05,2.404341097797328e-05,2.404341097797328e-05,0.01886209691040859,0.01886209691040859,0.01886209691040859
ESP,354.8254620123203,0.002818287037037037,26.915348039269155,26.915348039269155,26.915348039269155,0.00010470929199671472,0.00010470929199671472,0.00010470929199671472,0.08214461811893829,0.08214461811893829,0.08214461811893829
FRA,256.20807665982204,0.0039030775806796324,74.13102413009177,74.13102413009177,74.13102413009177,5.265106784212453e-05,5.265106784212453e-05,5.265106784212453e-05,0.04130485250135518,0.04130485250135518,0.04130485250135518
GBR,332.3750855578371,0.003008649093904448,5.7543993733715695,37.84425847170934,186.20871366628674,0.0005228432888803208,7.950080713441851e-05,1.6157402275472388e-05,0.41017145166516084,0.06236851875962519,0.012675509636283154
HRV,330.45859000684464,0.003026097763048881,104.71285480508996,104.71285480508996,104.71285480508996,2.8899009282877332e-05,2.8899009282877332e-05,2.8899009282877332e-05,0.02267132206024364,0.02267132206024364,0.02267132206024364
IDN,170.48596851471595,0.0058655853541031,1000.0,4365.158322401661,15848.93192461114,5.865585354103099e-06,1.343727975226319e-06,3.7009341588468044e-07,0.004601561712134907,0.0010541568878544548,0.00029033891583503716
IND,129.7741273100616,0.007705696202531646,33.884415613920254,33.884415613920254,33.884415613920254,0.00022741121730799523,0.00022741121730799523,0.00022741121730799523,0.17840448775371595,0.17840448775371595,0.17840448775371595
JPN,374.8117727583847,0.0026680058436815194,60.25595860743578,60.25595860743578,60.25595860743578,4.427787567140752e-05,4.427787567140752e-05,4.427787567140752e-05,0.034736068965681835,0.034736068965681835,0.034736068965681835
KHM,18.732375085557837,0.05338351359251681,416.8693834703355,2187.761623949552,5370.317963702527,0.0001280581297386537,2.440097358328459e-05,9.94047539704929e-06,0.10046182114131007,0.01914260538398161,0.007798319899220932
MAR,142.75154004106778,0.007005178365937859,1.0,5.495408738576246,17.78279410038923,0.007005178365937859,0.0012747329087213202,0.000393930128549626,5.495574373123143,1.0000301405327203,0.309038857566419
MEX,,,6.760829753919817,26.915348039269155,125.89254117941675,,,,,,
MLI,146.694045174538,0.006816909294512878,186.20871366628674,1584.893192461114,3019.9517204020162,3.6608970441253234e-05,4.301178986028191e-06,2.257290819737148e-06,0.028719799735811406,0.003374282248795775,0.0017708484971564026
NER,57.002053388090346,0.017543227665706054,12.882495516931343,46.77351412871981,186.20871366628674,0.0013617879891865015,0.0003750675567678629,9.421271067446438e-05,1.0683249996016762,0.2942411378396673,0.07391003217314003
NOR,483.2306639288159,0.0020694050991501415,2511.88643150958,2511.88643150958,2511.88643150958,8.238450087516424e-07,8.238450087516424e-07,8.238450087516424e-07,0.0006463078141643852,0.0006463078141643852,0.0006463078141643852
NZL,704.7227926078028,0.001418997668997669,1148.1536214968828,1148.1536214968828,1148.1536214968828,1.23589530392952e-06,1.23589530392952e-06,1.23589530392952e-06,0.0009695619733486965,0.0009695619733486965,0.0009695619733486965
POL,263.4907597535934,0.003795199501246883,38.018939632056124,38.018939632056124,38.018939632056124,9.982391770986993e-05,9.982391770986993e-05,9.982391770986993e-05,0.07831203366049752,0.07831203366049752,0.07831203366049752
RUS,252.42984257357975,0.003961496746203904,457.0881896148752,5623.413251903491,30199.51720402019,8.666810554745918e-06,7.044648096710591e-07,1.3117748603201332e-07,0.00679912765861433,0.0005526538444217093,0.00010290896147249454
SOM,3.5181382614647503,0.28424124513618676,831.7637711026708,831.7637711026708,831.7637711026708,0.0003417331398786071,0.0003417331398786071,0.0003417331398786071,0.26809023094908,0.26809023094908,0.26809023094908
SWE,291.03353867214236,0.003436030103480715,436.5158322401661,1949.8445997580454,3981.0717055349733,7.871490218000272e-06,1.762207154307112e-06,8.630917395191664e-07,0.006175197498278166,0.001382454517422966,0.0006770969413739952
TUR,232.52566735112939,0.004300600494524903,51.28613839913648,51.28613839913648,51.28613839913648,8.385502649966161e-05,8.385502649966161e-05,8.385502649966161e-05,0.06578441127635812,0.06578441127635812,0.06578441127635812
UGA,10.266940451745379,0.09740000000000001,269.1534803926917,269.1534803926917,269.1534803926917,0.00036187531314064596,0.00036187531314064596,0.00036187531314064596,0.28389180021905064,0.28389180021905064,0.28389180021905064
UKR,272.9089664613279,0.003664225521669341,20.892961308540396,20.892961308540396,20.892961308540396,0.00017538085997275644,0.00017538085997275644,0.00017538085997275644,0.13758658370343177,0.13758658370343177,0.13758658370343177
URY,337.3032169746749,0.0029646915584415584,2187.761623949552,2187.761623949552,2187.761623949552,1.3551254972145547e-06,1.3551254972145547e-06,1.3551254972145547e-06,0.0010630982632889787,0.0010630982632889787,0.0010630982632889787
US1,580.4243668720055,0.0017228773584905658,31.622776601683793,114.81536214968828,3715.352290971724,5.448216581964625e-05,1.5005634492049923e-05,4.6371843732750293e-07,0.04274135198706081,0.011771945846224265,0.000363787904803842
US2,580.4243668720055,0.0017228773584905658,31.622776601683793,114.81536214968828,3715.352290971724,5.448216581964625e-05,1.5005634492049923e-05,4.6371843732750293e-07,0.04274135198706081,0.011771945846224265,0.000363787904803842
VEN,507.0499657768651,0.0019721922246220304,331.1311214825911,2187.761623949552,141253.75446227554,5.95592530171078e-06,9.014657735250171e-07,1.3962051714163401e-08,0.004672433555078423,0.000707201436485973,1.0953253377482534e-05
ZAF,272.4435318275154,0.003670485378353934,38.018939632056124,38.018939632056124,38.018939632056124,9.654360205404362e-05,9.654360205404362e-05,9.654360205404362e-05,0.07573862043499427,0.07573862043499427,0.07573862043499427
