country,dailyPerCapitaCopiesInExcrement,dailyPerCapitaCopiesInExcrementUncertaintyRatio,domesticWaterUse,copiesInWasteWater_of_infected_individual,prevalence,prevalenceUncertaintyRatio,copiesInWasteWater,dilutionFactor_low,dilutionFactor_med,dilutionFactor_high,viral_copies_vlowIU_lowDF,viral_copies_vlowIU_medDF,viral_copies_vlowIU_highDF,viral_copies_lowIU_lowDF,viral_copies_lowIU_medDF,viral_copies_lowIU_highDF,viral_copies_medIU_lowDF,viral_copies_medIU_medDF,viral_copies_medIU_highDF,viral_copies_highIU_lowDF,viral_copies_highIU_medDF,viral_copies_highIU_highDF,viral_copies_uncertainty_ratio,laketemp_low,laketemp_med,laketemp_high,seatemp_low,seatemp_med,seatemp_high,active_cases,country_population
MAR,237792395676.33408,0.6375838926174497,95.93429158110884,2478700699.7939787,0.00010188854489164088,0.2002498439450079,252551.20752390046,1.0,5.495408738576246,17.78279410038923,25.25512075239005,4.595676491742298,1.4201998071741306,252.55120752390047,45.95676491742298,14.201998071741304,2525.512075239005,459.5676491742298,142.01998071741306,25255.12075239005,4595.676491742298,1420.1998071741305,0.6757316184146038,18.7336643,18.794935,18.8871774,17.2408891,17.7751518,18.6144437,3291,32299999.999999996
MLI,237792395676.33408,0.6375838926174497,15.93429158110883,14923311429.68746,2.446969696969697e-05,0.2002498439450079,365168.90846886736,186.20871366628674,1584.893192461114,3019.9517204020162,0.19610731489360025,0.023040600477424723,0.012091879019186971,1.9610731489360023,0.23040600477424722,0.1209187901918697,19.610731489360024,2.304060047742472,1.209187901918697,196.10731489360023,23.04060047742472,12.09187901918697,0.6757316184146038,25.663951899999997,26.3555697,26.8173006,,,,323,13200000.0
NOR,237792395676.33408,0.6375838926174497,307.92607802874744,772238574.9158088,0.001617872340425532,0.2002498439450079,1249383.4305659172,2511.88643150958,2511.88643150958,2511.88643150958,0.049738850247901915,0.049738850247901915,0.049738850247901915,0.49738850247901917,0.49738850247901917,0.49738850247901917,4.973885024790191,4.973885024790191,4.973885024790191,49.738850247901915,49.738850247901915,49.738850247901915,0.6757316184146038,2.8909437,3.42147828,4.4174639,5.81340496,5.89846538,6.21113296,7604,4700000.0
NZL,237792395676.33408,0.6375838926174497,608.6242299794662,390704779.6706298,4.674418604651163e-05,0.2002498439450079,18263.176910185255,1148.1536214968828,1148.1536214968828,1148.1536214968828,0.001590656212569795,0.001590656212569795,0.001590656212569795,0.015906562125697948,0.015906562125697948,0.015906562125697948,0.15906562125697948,0.15906562125697948,0.15906562125697948,1.5906562125697952,1.5906562125697952,1.5906562125697952,0.6757316184146038,11.862183300000002,16.5355101,16.688201,12.609263,16.2829562,18.5351801,201,4300000.0
POL,237792395676.33408,0.6375838926174497,109.51403148528405,2171341813.0195255,0.0002386842105263158,0.2002498439450079,518265.00642334466,38.018939632056124,38.018939632056124,38.018939632056124,1.363175857714778,1.363175857714778,1.363175857714778,13.631758577147778,13.631758577147778,13.631758577147778,136.31758577147778,136.31758577147778,136.31758577147778,1363.1758577147777,1363.1758577147777,1363.1758577147777,0.6757316184146038,7.75111795,8.24707619,9.09881951,,,,9070,38000000.0
RUS,237792395676.33408,0.6375838926174497,252.42984257357975,942013801.7438289,0.0008041873278236914,0.2002498439450079,757555.5619974064,457.0881896148752,5623.413251903491,30199.51720402019,0.16573509865474612,0.013471454578604524,0.0025085022282957553,1.6573509865474614,0.13471454578604525,0.02508502228295755,16.573509865474612,1.3471454578604525,0.25085022282957553,165.73509865474614,13.471454578604526,2.508502228295755,0.6757316184146038,2.6988455,3.61743934,4.7020299,,,,116768,145200000.0
SWE,237792395676.33408,0.6375838926174497,283.36755646817244,839165918.0751791,0.001821407624633431,0.2002498439450079,1528463.2015146443,436.5158322401661,1949.8445997580454,3981.0717055349733,0.35015069067957677,0.07838897529086727,0.03839325976946327,3.5015069067957683,0.7838897529086729,0.3839325976946328,35.01506906795768,7.838897529086729,3.8393259769463275,350.15069067957677,78.38897529086728,38.39325976946328,0.6757316184146038,2.75908592,3.44123838,4.93171955,3.05923922,4.0164429,5.05651574,18633,10230000.0
TUR,237792395676.33408,0.6375838926174497,187.54277891854895,1267936825.1208909,0.0010092790500424089,0.2002498439450079,1279702.0743718005,51.28613839913648,51.28613839913648,51.28613839913648,2.495220179013024,2.495220179013024,2.495220179013024,24.95220179013024,24.95220179013024,24.95220179013024,249.52201790130238,249.52201790130238,249.52201790130238,2495.220179013024,2495.220179013024,2495.220179013024,0.6757316184146038,8.47049175,11.350323699999999,13.211495000000001,13.9641305,16.7152157,17.4832942,59497,58950000.0
URY,237792395676.33408,0.6375838926174497,51.52635181382615,4614966658.915038,5.905393190720096e-05,0.2002498439450079,272531.92682957137,2187.761623949552,2187.761623949552,2187.761623949552,0.012457112504678241,0.012457112504678241,0.012457112504678241,0.1245711250467824,0.1245711250467824,0.1245711250467824,1.245711250467824,1.245711250467824,1.245711250467824,12.457112504678241,12.457112504678241,12.457112504678241,0.6757316184146038,19.2239928,19.611056299999998,20.014682500000003,18.6884255,19.0052755,19.2855042,196,3319000.0
VEN,237792395676.33408,0.6375838926174497,52.01916495550993,4571245922.146369,7.3161764705882355e-06,0.2002498439450079,33444.04185687969,331.1311214825911,2187.761623949552,141253.75446227554,0.010099939174288086,0.0015286876545765244,2.3676568445344613e-05,0.10099939174288085,0.015286876545765243,0.00023676568445344612,1.0099939174288086,0.15286876545765243,0.002367656844534461,10.099939174288085,1.5286876545765244,0.023676568445344614,0.6757316184146038,25.6984247,26.2096935,26.674697899999998,26.162107000000002,26.642828700000003,26.7943478,199,27200000.0
ZAF,237792395676.33408,0.6375838926174497,161.9712525667351,1468114816.105156,7.654850746268656e-05,0.2002498439450079,112381.99795670624,38.018939632056124,38.018939632056124,38.018939632056124,0.2955947720907766,0.2955947720907766,0.2955947720907766,2.955947720907766,2.955947720907766,2.955947720907766,29.55947720907766,29.55947720907766,29.55947720907766,295.59477209077664,295.59477209077664,295.59477209077664,0.6757316184146038,19.2221665,19.6081948,20.058847699999998,17.4846183,19.3987371,22.7554289,4103,53600000.0
