country,laketemp_lower,laketemp_med,laketemp_upper,24h_survival_proportion_lower,24h_survival_proportion,24h_survival_proportion_upper,48h_survival_proportion_lower,48h_survival_proportion,48h_survival_proportion_upper,0h_viral_copies_lowIU_lowDF,24h_viral_copies_lowIU_lowDF lowT,24h_viral_copies_lowIU_lowDF medT,24h_viral_copies_lowIU_lowDF highT,48h_viral_copies_lowIU_lowDF lowT,48h_viral_copies_lowIU_lowDF medT,48h_viral_copies_lowIU_lowDF highT,0h_viral_copies_lowIU_medDF,24h_viral_copies_lowIU_medDF lowT,24h_viral_copies_lowIU_medDF medT,24h_viral_copies_lowIU_medDF highT,48h_viral_copies_lowIU_medDF lowT,48h_viral_copies_lowIU_medDF medT,48h_viral_copies_lowIU_medDF highT,0h_viral_copies_lowIU_highDF,24h_viral_copies_lowIU_highDF lowT,24h_viral_copies_lowIU_highDF medT,24h_viral_copies_lowIU_highDF highT,48h_viral_copies_lowIU_highDF lowT,48h_viral_copies_lowIU_highDF medT,48h_viral_copies_lowIU_highDF highT,0h_viral_copies_medIU_lowDF,24h_viral_copies_medIU_lowDF lowT,24h_viral_copies_medIU_lowDF medT,24h_viral_copies_medIU_lowDF highT,48h_viral_copies_medIU_lowDF lowT,48h_viral_copies_medIU_lowDF medT,48h_viral_copies_medIU_lowDF highT,0h_viral_copies_medIU_medDF,24h_viral_copies_medIU_medDF lowT,24h_viral_copies_medIU_medDF medT,24h_viral_copies_medIU_medDF highT,48h_viral_copies_medIU_medDF lowT,48h_viral_copies_medIU_medDF medT,48h_viral_copies_medIU_medDF highT,0h_viral_copies_medIU_highDF,24h_viral_copies_medIU_highDF lowT,24h_viral_copies_medIU_highDF medT,24h_viral_copies_medIU_highDF highT,48h_viral_copies_medIU_highDF lowT,48h_viral_copies_medIU_highDF medT,48h_viral_copies_medIU_highDF highT,0h_viral_copies_highIU_lowDF,24h_viral_copies_highIU_lowDF lowT,24h_viral_copies_highIU_lowDF medT,24h_viral_copies_highIU_lowDF highT,48h_viral_copies_highIU_lowDF lowT,48h_viral_copies_highIU_lowDF medT,48h_viral_copies_highIU_lowDF highT,0h_viral_copies_highIU_medDF,24h_viral_copies_highIU_medDF lowT,24h_viral_copies_highIU_medDF medT,24h_viral_copies_highIU_medDF highT,48h_viral_copies_highIU_medDF lowT,48h_viral_copies_highIU_medDF medT,48h_viral_copies_highIU_medDF highT,0h_viral_copies_highIU_highDF,24h_viral_copies_highIU_highDF lowT,24h_viral_copies_highIU_highDF medT,24h_viral_copies_highIU_highDF highT,48h_viral_copies_highIU_highDF lowT,48h_viral_copies_highIU_highDF medT,48h_viral_copies_highIU_highDF highT
AFG,16.642971900000003,17.6966645,17.865826100000003,0.47293499840184827,0.42939671123276996,0.4223168320157846,0.22366751271335625,0.18438153561751883,0.17835150660384846,4.1786471940129895,1.976228504022421,1.7942973625112202,1.7647130450872135,0.9346276243915307,0.7704653864359511,0.7452680226181605,4.1786471940129895,1.976228504022421,1.7942973625112202,1.7647130450872135,0.9346276243915307,0.7704653864359511,0.7452680226181605,4.1786471940129895,1.976228504022421,1.7942973625112202,1.7647130450872135,0.9346276243915307,0.7704653864359511,0.7452680226181605,41.78647194012989,19.76228504022421,17.9429736251122,17.647130450872133,9.346276243915307,7.704653864359511,7.452680226181605,41.78647194012989,19.76228504022421,17.9429736251122,17.647130450872133,9.346276243915307,7.704653864359511,7.452680226181605,41.78647194012989,19.76228504022421,17.9429736251122,17.647130450872133,9.346276243915307,7.704653864359511,7.452680226181605,417.864719401299,197.6228504022421,179.42973625112202,176.47130450872137,93.46276243915308,77.04653864359513,74.52680226181606,417.864719401299,197.6228504022421,179.42973625112202,176.47130450872137,93.46276243915308,77.04653864359513,74.52680226181606,417.864719401299,197.6228504022421,179.42973625112202,176.47130450872137,93.46276243915308,77.04653864359513,74.52680226181606
ARG,8.40812222,11.5679586,19.0674981,0.7481517239343044,0.6587186315613498,0.3716144693494635,0.5597310020258717,0.43391023556605735,0.13809731382988336,1.2267745586728969,0.9178135009498732,0.8080992585232895,0.4558871766326509,0.686663752985827,0.5323100377402027,0.1694142712275677,0.2875840270342384,0.21515648560163506,0.18943695674689576,0.10687038559971028,0.16096969561850963,0.12478565291546179,0.03971458163380888,0.0425367946689534,0.031823976262217016,0.028019779175339106,0.015807288378730206,0.023809162703022045,0.018457150595030582,0.0058742170827157675,12.267745586728967,9.178135009498732,8.080992585232893,4.558871766326508,6.86663752985827,5.323100377402026,1.6941427122756767,2.875840270342384,2.1515648560163507,1.8943695674689576,1.0687038559971027,1.6096969561850965,1.247856529154618,0.3971458163380888,0.4253679466895345,0.3182397626221705,0.2801977917533913,0.15807288378730225,0.2380916270302207,0.18457150595030603,0.058742170827157734,122.6774558672897,91.78135009498733,80.80992585232894,45.588717663265086,68.66637529858271,53.23100377402027,16.94142712275677,28.758402703423847,21.515648560163513,18.94369567468958,10.68703855997103,16.096969561850965,12.478565291546182,3.971458163380889,4.2536794668953455,3.1823976262217055,2.801977917533914,1.5807288378730227,2.3809162703022073,1.8457150595030607,0.5874217082715775
AUS,15.518816500000002,16.094986,16.8079956,0.5179405089946704,0.4950900355568215,0.46619104062521594,0.26826237085765825,0.2451141433076548,0.21733408635922175,0.3091682477696134,0.16013075961478393,0.15306611878129808,0.14413146715599065,0.08293820714058439,0.07578151018997754,0.06719279866029042,0.0676386427814086,0.03503279306991146,0.03348721805966273,0.03153252926474213,0.018144902674134905,0.016579187979857458,0.014700182631475208,0.0070826353807829,0.0036683837741463563,0.0035065422025078083,0.0033018611585361526,0.001900004559169154,0.001736054103721086,0.0015392980894979502,3.091682477696134,1.6013075961478391,1.530661187812981,1.4413146715599066,0.829382071405844,0.7578151018997754,0.6719279866029042,0.6763864278140868,0.35032793069911494,0.3348721805966277,0.3153252926474216,0.18144902674134925,0.16579187979857476,0.14700182631475223,0.0708263538078299,0.036683837741464026,0.03506542202507852,0.03301861158536194,0.01900004559169178,0.017360541037211078,0.015392980894979697,30.916824776961334,16.01307596147839,15.306611878129807,14.413146715599064,8.29382071405844,7.578151018997753,6.719279866029042,6.763864278140868,3.50327930699115,3.3487218059662776,3.1532529264742166,1.8144902674134926,1.657918797985748,1.4700182631475225,0.7082635380782992,0.3668383774146404,0.35065422025078535,0.33018611585361957,0.19000045591691786,0.17360541037211086,0.15392980894979702
BRA,24.7875915,26.6250183,28.081787899999995,0.1477146680229872,0.09413591079834115,0.061145057868969684,0.021819623149141317,0.008861569701833242,0.003738718101799651,1.0976935821246896,0.16214544307451215,0.10333238513080134,0.06711853760141077,0.023951260295191734,0.009727288189252949,0.004103966865718879,0.1780250535295915,0.02629691168189813,0.016758550558931534,0.010885352200193299,0.0038844395791213966,0.0015775814205250692,0.0006655854902049356,0.0288722829397155,0.004264859689505832,0.002717918651357525,0.0017653974111581704,0.0006299823331999742,0.00025585374772133966,0.00010794532686699557,10.976935821246895,1.6214544307451213,1.0333238513080134,0.6711853760141077,0.2395126029519173,0.09727288189252949,0.041039668657188784,1.7802505352959157,0.26296911681898144,0.1675855055893154,0.10885352200193302,0.03884439579121399,0.015775814205250697,0.006655854902049359,0.2887228293971559,0.04264859689505845,0.027179186513575336,0.017653974111581757,0.006299823331999761,0.0025585374772134047,0.001079453268669959,109.76935821246896,16.214544307451213,10.333238513080135,6.711853760141077,2.395126029519173,0.972728818925295,0.4103966865718879,17.802505352959155,2.629691168189814,1.6758550558931538,1.0885352200193301,0.3884439579121398,0.15775814205250696,0.06655854902049357,2.8872282939715586,0.42648596895058444,0.2717918651357533,0.17653974111581755,0.06299823331999761,0.025585374772134045,0.01079453268669959
CAN,1.43977599,2.16431173,3.12300258,0.8780267745370904,0.8681471110810447,0.8539402356543967,0.7709310168040067,0.7536794064783638,0.7292139260694865,0.1393753713101249,0.1223753077213383,0.12099832595873285,0.11901823742098709,0.10744879672155057,0.10504434712671651,0.10163446171044865,0.0078376531001432,0.006881669271459361,0.006804235896544712,0.006692887335313697,0.006042289873850471,0.005907077736699235,0.005715325788326105,0.0005178286051021,0.00045466737990083753,0.0004495514075545152,0.00044219468106947477,0.00039921013306156236,0.00039027675575086976,0.00037760783015758804,1.3937537131012494,1.2237530772133833,1.2099832595873288,1.1901823742098714,1.0744879672155059,1.0504434712671655,1.0163446171044868,0.0783765310014327,0.06881669271459423,0.06804235896544773,0.06692887335313757,0.06042289873850526,0.05907077736699288,0.05715325788326157,0.005178286051021,0.004546673799008376,0.0044955140755451525,0.004421946810694748,0.003992101330615624,0.0039027675575086978,0.0037760783015758806,13.937537131012494,12.237530772133834,12.09983259587329,11.901823742098713,10.74487967215506,10.504434712671655,10.163446171044868,0.783765310014327,0.6881669271459423,0.6804235896544774,0.6692887335313757,0.6042289873850526,0.5907077736699289,0.5715325788326157,0.0517828605102107,0.045466737990084376,0.04495514075545213,0.04421946810694808,0.03992101330615678,0.0390276755750875,0.03776078301575932
CMR,25.746827,26.5658846,29.3371564,0.11815209146262844,0.09565733846364396,0.039595467553510656,0.013959916716993316,0.00915032640194814,0.001567801050781115,0.1630683469897406,0.01926686624819146,0.015598684060704554,0.006456767442236891,0.0022764205431545464,0.001492128600782264,0.00025565872575965476,0.1630683469897406,0.01926686624819146,0.015598684060704554,0.006456767442236891,0.0022764205431545464,0.001492128600782264,0.00025565872575965476,0.1630683469897406,0.01926686624819146,0.015598684060704554,0.006456767442236891,0.0022764205431545464,0.001492128600782264,0.00025565872575965476,1.630683469897407,0.19266866248191475,0.15598684060704565,0.06456767442236895,0.02276420543154548,0.01492128600782265,0.0025565872575965495,1.630683469897407,0.19266866248191475,0.15598684060704565,0.06456767442236895,0.02276420543154548,0.01492128600782265,0.0025565872575965495,1.630683469897407,0.19266866248191475,0.15598684060704565,0.06456767442236895,0.02276420543154548,0.01492128600782265,0.0025565872575965495,16.30683469897407,1.9266866248191472,1.5598684060704562,0.6456767442236895,0.22764205431545478,0.14921286007822646,0.02556587257596549,16.30683469897407,1.9266866248191472,1.5598684060704562,0.6456767442236895,0.22764205431545478,0.14921286007822646,0.02556587257596549,16.30683469897407,1.9266866248191472,1.5598684060704562,0.6456767442236895,0.22764205431545478,0.14921286007822646,0.02556587257596549
ESP,10.8018128,11.2312164,11.4150222,0.6823491721979188,0.6692590330623572,0.6635356180633512,0.46560039279918497,0.4479076533355614,0.4402795164387134,63.2577100808981,43.163846108836765,42.33579388248079,41.973743755801,29.452814661243117,28.33361247771635,27.85107400543814,63.2577100808981,43.163846108836765,42.33579388248079,41.973743755801,29.452814661243117,28.33361247771635,27.85107400543814,63.2577100808981,43.163846108836765,42.33579388248079,41.973743755801,29.452814661243117,28.33361247771635,27.85107400543814,632.577100808981,431.6384610883676,423.3579388248079,419.73743755800996,294.52814661243116,283.3361247771635,278.51074005438136,632.577100808981,431.6384610883676,423.3579388248079,419.73743755800996,294.52814661243116,283.3361247771635,278.51074005438136,632.577100808981,431.6384610883676,423.3579388248079,419.73743755800996,294.52814661243116,283.3361247771635,278.51074005438136,6325.77100808981,4316.384610883676,4233.579388248078,4197.3743755801,2945.2814661243115,2833.361247771635,2785.107400543814,6325.77100808981,4316.384610883676,4233.579388248078,4197.3743755801,2945.2814661243115,2833.361247771635,2785.107400543814,6325.77100808981,4316.384610883676,4233.579388248078,4197.3743755801,2945.2814661243115,2833.361247771635,2785.107400543814
FRA,9.78878365,10.4072925,11.5480838,0.7116722627203127,0.6940289082304743,0.6593474314455683,0.5064774095254497,0.48167612545958405,0.43473903535386843,19.61577805264158,13.960005151742882,13.613917025966135,12.933612874815578,9.93494845392808,9.448451970271542,8.527744428320984,19.61577805264158,13.960005151742882,13.613917025966135,12.933612874815578,9.93494845392808,9.448451970271542,8.527744428320984,19.61577805264158,13.960005151742882,13.613917025966135,12.933612874815578,9.93494845392808,9.448451970271542,8.527744428320984,196.1577805264158,139.60005151742882,136.13917025966134,129.33612874815577,99.34948453928078,94.4845197027154,85.27744428320985,196.1577805264158,139.60005151742882,136.13917025966134,129.33612874815577,99.34948453928078,94.4845197027154,85.27744428320985,196.1577805264158,139.60005151742882,136.13917025966134,129.33612874815577,99.34948453928078,94.4845197027154,85.27744428320985,1961.577805264158,1396.0005151742882,1361.3917025966134,1293.3612874815578,993.4948453928079,944.8451970271541,852.7744428320984,1961.577805264158,1396.0005151742882,1361.3917025966134,1293.3612874815578,993.4948453928079,944.8451970271541,852.7744428320984,1961.577805264158,1396.0005151742882,1361.3917025966134,1293.3612874815578,993.4948453928079,944.8451970271541,852.7744428320984
GBR,8.7329895,9.40021216,10.291525,0.7399245395820557,0.7223418801715488,0.6973931696612057,0.5474883242757171,0.5217777918497681,0.48635723309010326,307.9291029491485,227.84429972356415,222.43008718382632,214.74765313663838,168.5875885693541,160.67056738308662,149.7635464982654,46.8220836822071,34.64480871082957,33.82155196055507,32.65340134927663,25.634544134268964,24.430723433507083,22.77225906719152,9.515919003817608,7.0410619875998774,6.873746824777782,6.636336916311664,5.209854549343554,4.965195205233197,4.628136037006263,3079.291029491485,2278.4429972356415,2224.3008718382634,2147.476531366384,1685.875885693541,1606.7056738308663,1497.6354649826542,468.22083682207096,346.4480871082957,338.2155196055507,326.53401349276623,256.34544134268964,244.3072343350708,227.72259067191516,95.15919003817608,70.41061987599878,68.73746824777783,66.36336916311664,52.09854549343554,49.651952052331964,46.281360370062636,30792.91029491485,22784.429972356415,22243.008718382633,21474.76531366384,16858.758856935412,16067.056738308664,14976.354649826542,4682.20836822071,3464.4808710829575,3382.155196055507,3265.340134927663,2563.4544134268967,2443.0723433507083,2277.225906719152,951.5919003817608,704.1061987599878,687.3746824777782,663.6336916311664,520.9854549343554,496.51952052331967,462.81360370062635
IDN,26.2815228,28.1977203,29.6348455,0.10316861155684554,0.05889169895256918,0.03537935074507961,0.010643762410567283,0.0034682322055200384,0.0012516984591433653,0.0937842523803105,0.009675591103973421,0.005523113957673016,0.0033180259593280728,0.0009982173001887042,0.0003252655644760122,0.00011738960419634715,0.0214847310117062,0.0022165498681500297,0.0012652723108183286,0.0007601158341268428,0.00022867837234354763,7.451403602173456e-05,2.6892404702462324e-05,0.005917386283594,0.0006104885269239152,0.00034848493159948,0.00020935328482139527,6.298325369412425e-05,2.052286968126324e-05,7.406783293330695e-06,0.9378425238031054,0.09675591103973424,0.05523113957673018,0.03318025959328074,0.009982173001887045,0.0032526556447601235,0.001173896041963472,0.2148473101170623,0.02216549868150033,0.012652723108183304,0.007601158341268438,0.0022867837234354796,0.0007451403602173467,0.00026892404702462364,0.0591738628359409,0.006104885269239245,0.003484849315994853,0.0020935328482139847,0.0006298325369412521,0.00020522869681263554,7.406783293330808e-05,9.378425238031056,0.9675591103973427,0.5523113957673019,0.3318025959328075,0.09982173001887047,0.03252655644760124,0.011738960419634722,2.148473101170624,0.2216549868150034,0.12652723108183309,0.07601158341268442,0.022867837234354805,0.00745140360217347,0.0026892404702462376,0.5917386283594097,0.06104885269239252,0.034848493159948576,0.02093532848213987,0.006298325369412528,0.0020522869681263577,0.0007406783293330817
MAR,18.7336643,18.794935,18.8871774,0.38574667966887455,0.3831542388848767,0.37924998252095954,0.14880050087556132,0.14680717077544916,0.1438305492421481,252.55120752390047,97.4207897487095,96.76606569827663,95.78004103908648,37.57974617628422,37.07632825250716,36.324578889930336,45.95676491742298,17.727669475218935,17.608529283546407,17.429102291652512,6.838389638332964,6.746782635519287,6.6099867394652305,14.201998071741304,5.478373600837966,5.441555761822526,5.386107520470591,2.113264426508862,2.084955156270725,2.04268118299448,2525.512075239005,974.207897487095,967.6606569827663,957.8004103908648,375.7974617628422,370.7632825250716,363.24578889930336,459.5676491742298,177.27669475218934,176.08529283546406,174.29102291652512,68.38389638332964,67.46782635519287,66.0998673946523,142.01998071741306,54.78373600837968,54.41555761822527,53.86107520470591,21.132644265088626,20.84955156270726,20.426811829944803,25255.12075239005,9742.07897487095,9676.606569827663,9578.004103908648,3757.9746176284225,3707.632825250716,3632.4578889930335,4595.676491742298,1772.7669475218934,1760.8529283546404,1742.9102291652512,683.8389638332964,674.6782635519286,660.998673946523,1420.1998071741305,547.8373600837967,544.1555761822526,538.6107520470591,211.3264426508862,208.49551562707254,204.26811829944802
MLI,25.6639519,26.3555697,26.8173006,0.12057283878555891,0.10118174541055608,0.08928606790592963,0.014537809452808378,0.010237745604326585,0.007972001922102278,1.9610731489360025,0.23645215663334898,0.19842480408712013,0.1750965103443952,0.028509707762250508,0.020076968010282453,0.01563367891270098,0.2304060047742472,0.027780706068870023,0.02331288171613125,0.020572046188207384,0.0033495985941908633,0.0023588380625879993,0.0018367971129242052,0.1209187901918697,0.014579521795949128,0.012234774244546205,0.010796363312174135,0.0017578943310735163,0.0012379358127673026,0.0009639648278278672,19.610731489360024,2.3645215663334898,1.984248040871201,1.7509651034439517,0.2850970776225051,0.20076968010282453,0.15633678912700977,2.304060047742472,0.27780706068870026,0.23312881716131248,0.20572046188207382,0.03349598594190863,0.023588380625879993,0.01836797112924205,1.209187901918697,0.1457952179594913,0.12234774244546207,0.10796363312174137,0.017578943310735163,0.012379358127673027,0.009639648278278673,196.10731489360023,23.6452156633349,19.84248040871201,17.509651034439518,2.8509707762250507,2.007696801028245,1.5633678912700977,23.04060047742472,2.7780706068870025,2.331288171613125,2.0572046188207382,0.33495985941908635,0.23588380625879996,0.18367971129242053,12.09187901918697,1.4579521795949129,1.2234774244546207,1.0796363312174138,0.17578943310735165,0.12379358127673026,0.09639648278278673
NOR,2.8909437,3.42147828,4.4174639,0.8575022267310785,0.8492394211616893,0.8325442156551476,0.7353100688487578,0.7212075944550411,0.6931298710208449,0.4973885024790191,0.42651174842619544,0.42240192393776166,0.4140979206722834,0.3657347740024281,0.35872036538248864,0.3447548285705337,0.4973885024790191,0.42651174842619544,0.42240192393776166,0.4140979206722834,0.3657347740024281,0.35872036538248864,0.3447548285705337,0.4973885024790191,0.42651174842619544,0.42240192393776166,0.4140979206722834,0.3657347740024281,0.35872036538248864,0.3447548285705337,4.973885024790191,4.265117484261954,4.224019239377617,4.140979206722834,3.657347740024281,3.5872036538248864,3.447548285705337,4.973885024790191,4.265117484261954,4.224019239377617,4.140979206722834,3.657347740024281,3.5872036538248864,3.447548285705337,4.973885024790191,4.265117484261954,4.224019239377617,4.140979206722834,3.657347740024281,3.5872036538248864,3.447548285705337,49.73885024790192,42.651174842619554,42.24019239377618,41.40979206722835,36.573477400242815,35.87203653824887,34.47548285705338,49.73885024790192,42.651174842619554,42.24019239377618,41.40979206722835,36.573477400242815,35.87203653824887,34.47548285705338,49.73885024790192,42.651174842619554,42.24019239377618,41.40979206722835,36.573477400242815,35.87203653824887,34.47548285705338
NZL,11.862183300000002,16.5355101,16.688201,0.6493119759315111,0.4773094396200043,0.47108976215315557,0.4216060420880833,0.22782430115036256,0.2219255640055167,0.0159065621256979,0.01032832128411424,0.007592352254497649,0.007493418568469416,0.0067063027010437,0.0036239013999919494,0.0035300727711342966,0.0159065621256979,0.01032832128411424,0.007592352254497649,0.007493418568469416,0.0067063027010437,0.0036239013999919494,0.0035300727711342966,0.0159065621256979,0.01032832128411424,0.007592352254497649,0.007493418568469416,0.0067063027010437,0.0036239013999919494,0.0035300727711342966,0.1590656212569794,0.10328321284114267,0.07592352254497668,0.07493418568469436,0.06706302701043718,0.036239013999919585,0.03530072771134306,0.1590656212569794,0.10328321284114267,0.07592352254497668,0.07493418568469436,0.06706302701043718,0.036239013999919585,0.03530072771134306,0.1590656212569794,0.10328321284114267,0.07592352254497668,0.07493418568469436,0.06706302701043718,0.036239013999919585,0.03530072771134306,1.5906562125697952,1.0328321284114275,0.7592352254497674,0.7493418568469441,0.6706302701043722,0.3623901399991961,0.35300727711343083,1.5906562125697952,1.0328321284114275,0.7592352254497674,0.7493418568469441,0.6706302701043722,0.3623901399991961,0.35300727711343083,1.5906562125697952,1.0328321284114275,0.7592352254497674,0.7493418568469441,0.6706302701043722,0.3623901399991961,0.35300727711343083
POL,7.75111795,8.24707619,9.09881951,0.7641341177451892,0.7521501144041198,0.7303991026862173,0.5839009499022187,0.5657297945981306,0.5334828492048315,13.631758577147778,10.416491813664233,10.253128773331044,9.956624232783884,7.959596782034305,7.711891979861117,7.272309405409196,13.631758577147778,10.416491813664233,10.253128773331044,9.956624232783884,7.959596782034305,7.711891979861117,7.272309405409196,13.631758577147778,10.416491813664233,10.253128773331044,9.956624232783884,7.959596782034305,7.711891979861117,7.272309405409196,136.31758577147778,104.16491813664234,102.53128773331044,99.56624232783884,79.59596782034305,77.11891979861117,72.72309405409196,136.31758577147778,104.16491813664234,102.53128773331044,99.56624232783884,79.59596782034305,77.11891979861117,72.72309405409196,136.31758577147778,104.16491813664234,102.53128773331044,99.56624232783884,79.59596782034305,77.11891979861117,72.72309405409196,1363.1758577147775,1041.6491813664231,1025.312877333104,995.6624232783881,795.9596782034304,771.1891979861115,727.2309405409195,1363.1758577147775,1041.6491813664231,1025.312877333104,995.6624232783881,795.9596782034304,771.1891979861115,727.2309405409195,1363.1758577147775,1041.6491813664231,1025.312877333104,995.6624232783881,795.9596782034304,771.1891979861115,727.2309405409195
RUS,2.6988455,3.61743934,4.7020299,0.8603905373946267,0.8460787883765801,0.8274781158075802,0.7402718768382145,0.715849316140782,0.6847200321404631,1.6573509865474614,1.425969105967085,1.4022495146128058,1.3714216715801275,1.2268903253911556,1.1864135703252505,1.134821420776806,0.1347145457860452,0.11590712044372846,0.11397911967535844,0.11147333851891067,0.09972538964644326,0.0964353154751565,0.09224174812040875,0.0250850222829575,0.02158291580258999,0.021223905259564194,0.020757306973692838,0.01856973652593338,0.017957096046631402,0.01717621726383089,16.573509865474612,14.259691059670848,14.022495146128058,13.714216715801275,12.268903253911555,11.864135703252504,11.348214207768057,1.3471454578604525,1.159071204437285,1.139791196753585,1.1147333851891073,0.997253896464433,0.9643531547515655,0.9224174812040878,0.2508502228295755,0.2158291580259003,0.21223905259564235,0.20757306973692877,0.18569736525933417,0.17957096046631438,0.17176217263830923,165.73509865474614,142.5969105967085,140.2249514612806,137.14216715801277,122.68903253911556,118.64135703252505,113.48214207768059,13.471454578604526,11.590712044372852,11.39791196753585,11.147333851891073,9.97253896464433,9.643531547515655,9.224174812040879,2.508502228295755,2.1582915802590033,2.122390525956424,2.075730697369288,1.856973652593342,1.795709604663144,1.7176217263830926
